Comment,Designator,Footprint,LCSC,Quantity
1k,"R19,R2,R6",R_0603_1608Metric,C21190,3
100,"R20,R7",R_0603_1608Metric,C22775,2
30k,"R13,R26",R_0603_1608Metric,C22984,2
2.2u,"C3,C4,C5",C_0603_1608Metric,C23630,3
10k,"R12,R14,R15,R16,R17,R18,R21,R22,R25,R27,R28,R3,R4,R5,R8,R9",R_0603_1608Metric,C25804,16
4.7u,"C10,C11,C12,C13,C6,C7,C8,C9",C_1206_3216Metric,C29823,8
20k,"R10,R11,R23,R24",R_0603_1608Metric,C4184,4
OP07,U12,DIP-8_W7.62mm,,1
OP07,U11,DIP-8_W7.62mm,,1
TLP241AF,U10,DIP4_TOS,,1
TLP241AF,U9,DIP4_TOS,,1
OP07,U8,DIP-8_W7.62mm,,1
OP07,U7,DIP-8_W7.62mm,,1
OP07,U6,DIP-8_W7.62mm,,1
MCP4922,U5,DIP-14_W7.62mm,,1
MCP1501-20xCH,U4,SOT-23-6,,1
LM4040DBZ-3,U3,SOT-23,,1
LM4040DBZ-3,U2,SOT-23,,1
TPS65131_kit,U1,TPS65131_kit,,1
SW_SPDT,SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
200,R1,R_0603_1608Metric,,1
Conn_Coaxial,J4,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
Conn_Coaxial,J3,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
Conn_Coaxial,J2,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
Conn_Coaxial,J1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
D,D8,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D7,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D6,D_DO-34_SOD68_P7.62mm_Horizontal,,1
ZeD,D5,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D4,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D3,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D2,D_DO-34_SOD68_P7.62mm_Horizontal,,1
ZeD,D1,D_DO-34_SOD68_P7.62mm_Horizontal,,1
100u,C2,CP_Radial_D5.0mm_P2.00mm,,1
100u,C1,CP_Radial_D5.0mm_P2.00mm,,1
SW_SPDT,SW4,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
SW_SPDT,SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
TLP241AF,U16,DIP4_TOS,,1
OP07,U14,DIP-8_W7.62mm,,1
OP07,U17,DIP-8_W7.62mm,,1
TLP241AF,U15,DIP4_TOS,,1
OP07,U13,DIP-8_W7.62mm,,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common_Unspecified,,1
