Comment,Designator,Footprint,LCSC,Quantity
1k,"R11,R2,R4,R6",R_0603_1608Metric,C21190,4
100,R10,R_0603_1608Metric,C22775,1
30k,R18,R_0603_1608Metric,C22984,1
4.7k,"R13,R14",R_0603_1608Metric,C23162,2
5.1k,"R3,R7",R_0603_1608Metric,C23186,2
51,"R1,R5",R_0603_1608Metric,C23197,2
2.2u,"C3,C4,C5",C_0603_1608Metric,C23630,3
10k,"R12,R17,R19,R20,R8,R9",R_0603_1608Metric,C25804,6
8.2k,"R15,R16",R_0603_1608Metric,C25981,2
4.7u,"C6,C7,C8,C9",C_1206_3216Metric,C29823,4
OP07,U11,DIP-8_W7.62mm,,1
TLP241AF,U10,DIP4_TOS,,1
TLP241AF,U9,DIP4_TOS,,1
OP07,U8,DIP-8_W7.62mm,,1
OP07,U7,DIP-8_W7.62mm,,1
OP07,U6,DIP-8_W7.62mm,,1
~,U5,NJM1431AU,,1
MCP4922,U4,DIP-14_W7.62mm,,1
MCP1501-20xCH,U3,SOT-23-6,,1
~,U2,NJM1431AU,,1
TPS65131_kit,U1,TPS65131_kit,,1
SW_SPDT,SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
Conn_Coaxial,J2,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
Conn_Coaxial,J1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
D,D4,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
D,D3,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
D,D2,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
D,D1,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
100u,C2,CP_Radial_D5.0mm_P2.00mm,,1
100u,C1,CP_Radial_D5.0mm_P2.00mm,,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common_Unspecified,,1
D,D7,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
D,D5,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
D,D6,D_DO-34_SOD68_P2.54mm_Vertical_KathodeUp,,1
